timestamp,USD,ETH,wBTC,wETH,DAI
1627804800,13417079948,4415754.179420586[object Object],49406.4421,1765117.002,524126730.7
1627776000,13370047513,4509603.942314918[object Object],50027.97816,1794441.053,527850223
1627689600,13084425643,4531366.611432632[object Object],50725.84989,1772308.417,492480538.9
1627603200,12667736106,4534852.005656118[object Object],50467.92105,1767507.66,493473402.9
1627516800,12382663820,4595136.1232867185[object Object],50673.0383,1777988.777,472791693.9
1627430400,12464042920,4628383.885759488[object Object],50461.70213,1773380.372,516816978.7
1627344000,12189785037,4659462.3274205895[object Object],48233.49447,1800105.519,524913426.7
1627257600,11899191501,4615687.243429799[object Object],48365.72492,1753647.979,520672176.9
1627171200,11789324208,4588980.494642213[object Object],48361.15866,1771067.795,522370832.5
1627084800,11694443823,4686586.222712548[object Object],48370.65526,1778632.631,546883083.1
1626998400,11382219809,4769456.728570167[object Object],48319.11827,1774670.911,546568275.9
1626912000,11201503221,4766500.823760241[object Object],48537.37558,1775167.702,557088412.4
1626825600,10337655168,4905201.886077994[object Object],49131.89917,1760905.529,586423084.5
1626739200,10549621000,4898555.06389628[object Object],49772.49294,1742522.946,597685154.2
1626652800,10898513435,4856126.655806913[object Object],49989.97789,1749495.14,573537346.9
1626566400,10888942585,4833039.609903653[object Object],50132.03121,1746957.362,599584052.5
1626480000,10782492221,4836887.1956798835[object Object],50899.55484,1756723.114,595757543.5
1626393600,10187206219,4388114.165254391[object Object],49757.99003,1359457.382,578506376.6
1626307200,10316292313,4266862.566025302[object Object],50037.35151,1379278.412,586465804.5
1626220800,9970197150,4204022.910962935[object Object],48384.58048,1313679.304,573790809.6
1626134400,10495565536,4238257.76455227[object Object],48297.08917,1315054.43,605398735.2
1626048000,10724119380,4108899.767102806[object Object],45973.2673,1322941.938,601440532.6
1625961600,10566397014,4094076.51145254[object Object],46058.85573,1314981.894,605011788.4
1625875200,10629144178,4046977.4693782683[object Object],47347.43661,1250366.289,614544113
1625788800,10417135080,4019592.2050972474[object Object],48693.87819,1238134.125,617625396.9
1625702400,10986661604,3874328.573768372[object Object],47959.9374,1250490.34,606670311.4
1625616000,11031938105,3858826.8717398304[object Object],48668.92312,1250991.205,637246472.1
1625529600,10749677944,3961304.9433195074[object Object],49102.75862,1245071.447,639024928.9
1625443200,10904138502,3774085.6811295208[object Object],49543.07522,1233883.612,724138029.5
1625356800,10614832555,3816978.72568403[object Object],50282.21724,1221117.473,723783730.7
1625270400,10287672877,3813601.081068568[object Object],49944.66644,1218801.204,733064485.3
1625184000,10156093679,3851452.502849791[object Object],49620.28675,1225272.875,740674669.4
1625097600,10673804555,3772783.1257922603[object Object],49469.57313,1251085.231,736468085.6
1625011200,10562029220,3926687.786481937[object Object],49632.04133,1250839.62,740105036.2
1624924800,10295007816,3930066.0771881393[object Object],49944.54511,1242328.243,725334022.5
1624838400,10000520957,3993595.5048869792[object Object],50441.04045,1227571.029,724976144.1
1624752000,9451712771,4055629.5736269015[object Object],50403.77686,1224155.372,718686498.2
1624665600,9459989814,4072806.855273881[object Object],48899.91523,1216189.97,721320848.6
1624579200,10099538559,3946126.748681898[object Object],50939.27088,1149174.338,731664181
1624492800,9912147123,3900323.227228952[object Object],49535.31849,1136396.737,739474174.1
1624406400,9744143810,3993599.2883225274[object Object],52437.07261,1129295.995,698524391.2
1624320000,9895822006,3927405.1860488425[object Object],53869.4371,1089675.762,671871225
1624233600,8493351061,3771872.251483284[object Object],40420.90258,1112024.777,450396709.1
1624147200,10972001677,3762297.2508464935[object Object],57176.63747,1101138.017,665293789.7
1624060800,11115980080,3708384.84711627[object Object],55728.75206,1115589.239,672868331.9
1623974400,11682657987,3649059.551299866[object Object],56339.91896,1090659.41,602015044.2
1623888000,11815150126,3570572.648616237[object Object],60609.60187,1038765.46,657917266.5
1623801600,12997467786,3601302.464306055[object Object],62203.24151,1117409.569,668007396.3
1623715200,13121164051,3613483.368456121[object Object],61760.63787,1133901.097,609842292.3
1623628800,12998125664,3701200.8185881246[object Object],61173.88913,1146160.116,630747487.9
1623542400,12142250550,3654247.9127050717[object Object],61620.50792,1126399.908,611098518.9
1623456000,12126818226,3698862.0134353666[object Object],61240.61587,1136154.083,581726760.2
1623369600,12713268221,3674400.890975786[object Object],60858.34105,1140553.564,552855662
1623283200,13283719794,3700367.972866225[object Object],60488.73823,1162944.169,587796328.4
1623196800,12624315295,3631075.6317610475[object Object],57945.47584,1124758.985,586749587.7
1623110400,12596217342,3491835.2872509286[object Object],57132.48219,1101464.636,578403785.3
1623024000,13354670715,3574902.924825465[object Object],56312.55847,1079737.808,516456050.4
1622937600,13042628885,3608729.702413307[object Object],56228.72432,1071027.133,522022917.8
1622851200,13331155553,3591166.5768424496[object Object],56027.10607,1037266.684,541151550.9
1622764800,14123125686,3598718.865227354[object Object],54968.9345,1039218.171,529969765.9
1622678400,13815437165,3723087.99878936[object Object],54722.96813,1025329.204,514824291.4
1622592000,13493865813,3736211.2593926406[object Object],55655.7695,981651.5693,493526494.2
1622505600,13605323034,3646701.590558504[object Object],56110.20854,936354.0829,483546725.9
1622419200,12185516530,3697927.3312341413[object Object],55193.64329,873429.9659,498854735.3
1622332800,11345297422,3616419.117814856[object Object],55186.62403,853630.3138,468646218.1
1622246400,11212638978,3313759.908438782[object Object],49827.8663,846608.5978,432530073.6
1622160000,12342992153,3254763.436522222[object Object],48606.78547,849363.3651,416456446.7
1622073600,12505323805,3191575.5417416054[object Object],47152.99073,857741.7305,401921246.4
1621987200,11503228336,3128027.6212942493[object Object],41003.7537,1000341.667,388315983.7
1621900800,11271251400,3177618.171752898[object Object],40426.69835,1015116.252,378609317.7
1621814400,9152018377,3232623.126318991[object Object],40625.90448,1012480.95,390057814.3
1621728000,10288136811,3377674.7617535633[object Object],41371.49719,1068832.572,411826319.5
1621641600,10967830763,3424908.674413927[object Object],40524.0074,1121298.316,415141546.5
1621555200,12079789637,3369099.4475754504[object Object],42197.27399,1085873.691,381044115.1
1621468800,10932602438,3504747.4773861985[object Object],40402.88578,1186311.021,389967291.4
1621382400,14357877667,3420622.371907866[object Object],39520.02785,1075610.237,391720929.8
1621296000,13238556530,3306746.500214636[object Object],39369.72043,1076751.728,389616264.9
1621209600,13457502465,3087772.608653216[object Object],39580.23393,1058774.741,359191537.3
1621123200,13075605913,3010434.1142611[object Object],38141.95441,1048641.935,270303841.5
1621036800,14423308610,3023040.6833409304[object Object],38258.48584,1063684.89,257336223.4
1620950400,12776495472,2961827.4006591365[object Object],37651.89009,1006727.742,255786697.6
1620864000,12441838930,2823973.355135277[object Object],36391.75932,990875.7135,221940406.4
1620777600,13214483081,2749021.501066139[object Object],35480.24007,980004.007,213964038.7
1620691200,12515557153,2759998.784510232[object Object],35392.74259,972693.7012,218595904
1620604800,12877614091,2866727.4038755735[object Object],34972.01495,966990.0009,220852581.2
1620518400,12687187717,2859380.028526279[object Object],34430.17891,963042.7051,204302019.1
1620432000,12440242533,3170707.9839557144[object Object],38263.39559,1030372.353,205788255.1
1620345600,12453954452,3175863.716240734[object Object],38306.663,1042558.857,211425407.9
1620259200,11958569285,2996715.5296993484[object Object],38606.0924,1038075.055,202072712.2
1620172800,11862927721,3256761.3824995533[object Object],39101.49142,1043696.499,214050722.4
1620086400,12465367532,3256188.1951168296[object Object],39295.54825,1027546.225,165054994
1620000000,11007409908,3326022.200919336[object Object],31101.46222,964058.8406,200505434.2
1619913600,11007445701,3377202.114909278[object Object],30451.82479,956206.4003,151104281.3
1619827200,10319836139,3346689.942590832[object Object],30109.95878,951026.3637,190274913.6
1619740800,9662557738,3163235.4778032685[object Object],23933.42319,948826.1527,167726771.6
1619654400,9524374996,3172625.2191466917[object Object],23777.53918,921780.6056,142032234.9
1619568000,8886837822,3063405.080353292[object Object],18183.77101,912275.9822,143382633.6
1619481600,7770684726,2841180.7256906647[object Object],12719.51643,863873.5077,104792258.5
1619395200,6333882083,2517836.1861266694[object Object],11415.07924,671084.7185,84640356.97
1619308800,5996662380,2498279.315252985[object Object],11075.04826,651246.4096,75711987.99
1619222400,6400869510,2517667.8269645744[object Object],10961.35732,677322.1672,81591354.61
1619136000,6689419218,2619784.146549394[object Object],10559.05388,778672.6097,71756275.31
1619049600,6665066669,2675767.734048594[object Object],10751.07604,793913.0905,62157620.41
1618963200,6597956534,2693642.3741596[object Object],10788.75767,789482.49,59784278.89
1618876800,6213415039,2737676.1862527714[object Object],10938.86917,793897.4965,66537507.59
1618790400,6659055900,2835765.270183625[object Object],10851.16148,791860.1718,59871141.45
1618704000,7032198389,2897945.1734014554[object Object],10991.12759,779652.3412,51760603.4
1618617600,7293132387,2882105.7436577273[object Object],10739.91805,780100.9757,55881171.9
1618531200,7455839833,2860330.523759559[object Object],10219.37675,783816.0832,33575498.06
1618444800,6547536074,2625762.537207887[object Object],10127.69238,750490.3957,51491604.11
1618358400,6035329918,2617305.574012872[object Object],9650.572,751255.5124,37280697.4
1618272000,5836402122,2726823.731730702[object Object],9578.847037,750164.1344,43618913.26
1618185600,5722686928,2659711.2028658497[object Object],9763.962493,748194.1859,25704980.6
1618099200,5715407453,2676919.677948622[object Object],10724.08105,744934.8353,30636638.65
1618012800,5653518447,2733319.169650634[object Object],10855.34533,749755.7492,32951367.63
1617926400,5765690748,2769602.2940653316[object Object],9988.828322,768648.1834,31361553.65
1617840000,5563322411,2834543.891520377[object Object],10951.01775,776027.2197,39457934.59
1617753600,5921761674,2801593.412836306[object Object],11031.00821,812607.3673,36829028.51
1617667200,5924004706,2813390.5750753176[object Object],9839.953364,808172.6567,44029579.43
1617580800,5899771794,2842786.013267894[object Object],9952.863842,823902.0528,35655992.98
1617494400,5626469959,2797264.959212097[object Object],10107.04207,824593.1664,38744170.88
1617408000,6208988921,2906254.3471339075[object Object],10742.99889,842062.7,39730749.46
1617321600,5799336159,2945883.0678556003[object Object],11031.41378,833600.8165,43018425.94
1617235200,5712802321,2979449.273653847[object Object],10586.65484,853085.6122,39206799.02
1617148800,5844901762,3175351.772957174[object Object],10620.44583,841777.2008,41680445.95
1617062400,5712438531,3143711.700511805[object Object],9804.146889,860975.2155,44186680.75
1616976000,5406156263,3205281.662358298[object Object],8959.064412,784518.3836,47992405.84
1616889600,5344084917,3119358.462,8926.881261,779328.0725,28142056.55
1616803200,5432819890,3197412.729,9001.679927,751244.0234,24560623.75
1616716800,4999499740,3147486.946,8998.657705,744354.1304,25705901.36
1616630400,4810352825,3036014.734,8768.540507,709245.8445,22395430.98
1616544000,5065873191,3032912.166,8598.830288,683069.2048,20511885.88
1616457600,5084922764,3016845.206,8492.205525,687459.6877,22300338.98
1616371200,5477592106,3068679.051,8907.736192,668878.7825,25092986.99
1616284800,5522093480,3060230.14,9158.001266,652077.7305,19818785.42
1616198400,5526453789,3053137.573,9329.373001,633870.1891,19405556.67
1616112000,5141294501,2893732.482,9234.245551,631103.4082,17682582.01
1616025600,5333554619,2924787.433,9550.918648,631931.664,12947316.31
1615939200,5152137131,2854559.378,9542.395336,632634.615,17013974.28
1615852800,5079057218,2834722.429,9508.410915,597007.7775,14900329.85
1615766400,5376301575,2907491.983,9421.56882,597617.597,17132271.94
1615680000,5500974679,2862630.905,9347.719957,595052.701,15806930.04
1615593600,5122560789,2899196.209,9655.211028,625834.8099,15449143.2
1615507200,5413683727,2963300.725,10908.4887,722175.0186,29154610.93
1615420800,5336221353,2970062.033,10859.00824,715212.845,16785528.52
1615334400,5519436244,2950528.821,9819.167734,713543.6827,15999135.06
1615248000,5408707065,2954092.514,9605.923349,796238.2481,41761860.43
1615161600,5179093556,3002233.842,9758.389811,824049.9585,48437623.7
1615075200,4960850206,3004008.82,9550.294083,549291.8588,43095098.29
1614988800,4851924239,3173287.097,9453.124024,514297.3672,39467198.76
1614902400,4814060460,3126500.533,9628.911076,521765.7122,37787562.43
1614816000,5053977961,3216246.738,9954.130894,507517.3516,52783743.16
1614729600,4875229193,3271417.006,9850.061897,506628.2368,40096061.01
1614643200,4768369521,3035901.8,9776.587659,511073.4545,33907074.46
1614556800,4544854205,3201142.591,9692.381725,546636.9969,28626277.32
1614470400,4463677426,3055116.133,9545.429259,535419.6218,34832325.99
1614384000,4279468673,2961098.699,9737.753164,538096.8333,42294309.97
1614297600,4580465620,3103590.869,9618.719525,533407.7411,44491524.08
1614211200,4751628924,2924421.27,9693.736351,534870.6656,44391934.48
1614124800,4786864730,3036002.239,10054.82549,540707.2725,43046984.1
1614038400,5403327142,3036737.148,9894.06109,484148.0528,40231187.76
1613952000,5714651570,2949695.5,9491.582277,470368.0824,53935890.88
1613865600,5755057782,2997066.904,9504.549051,483449.4605,53853006.15
1613779200,5646730945,2884266.765,9694.338876,477210.834,48807161.6
1613692800,5740298227,2956874.235,10758.72199,443183.7611,56243655.42
1613606400,5587713969,3018020.454,10951.74486,441563.1653,34367945.49
1613520000,5434899273,3048074.25,11614.48708,424346.4125,35042250.23
1613433600,5715039240,3211526.147,12234.79336,420299.1902,21670058.56
1613347200,5855922421,3245159.307,12069.09081,418333.1497,17272843.94
1613260800,6076650436,3344239.529,12022.65516,431177.0232,42327333.48
1613174400,6258952939,3390732.401,12002.29122,432895.4941,38745887.91
1613088000,6013890612,3363492.308,11740.19265,429653.3071,47302452.54
1613001600,5943444024,3408993.624,12327.35639,432172.1959,27904484.31
1612915200,5828047162,3285980.098,12398.80701,448202.9811,32223373.73
1612828800,5647014313,3227455.485,12371.97208,431377.3715,19127718.68
1612742400,5345801104,3310380.531,11673.92885,417074.9671,42094996.69
1612656000,5428929770,3232775.835,11163.27744,409522.3595,55558176.86
1612569600,5765023037,3351601.691,10916.30694,471282.322,64778641.09
1612483200,5421869844,3392633.793,12422.77428,430501.6239,26938900.92
1612396800,4704404056,2826894.082,12691.74524,424206.3101,22613133.71
1612310400,4051644973,2675748.392,12531.70008,428282.7654,20704342.19
1612224000,3937376208,2863129.878,11900.64371,415039.4005,26228256.3
1612137600,3951750215,3007145.63,11574.11971,429282.3392,28977707.1
1612051200,4095962434,2972374.971,11216.89585,418592.7762,26450410.89
1611964800,3953031984,2864578.204,11380.46675,419419.1014,27024269.03
1611878400,3985793605,2996319.137,10685.1521,407959.1678,26451090.96
1611792000,3709750717,2971818.472,10720.81507,410853.2108,23085344.13
1611705600,3859506049,2826752.151,10762.69144,412382.9349,23989470.86
1611619200,3679005097,2786892.832,10809.38607,468092.9262,18216758.34
1611532800,3916270414,2825204.636,10811.52212,483809.8948,18604090.68
1611446400,3498613623,2835939.614,10825.23842,478051.823,17463244.11
1611360000,3258856128,2634313.163,11185.83286,487868.8218,19179952.91
1611273600,2959217512,2651224.735,12467.56047,515537.3415,21617367.2
1611187200,3409505794,2475050.484,11898.18996,528357.233,18307220.36
1611100800,3439220304,2506446.31,12441.09097,530964.9152,20383526.43
1611014400,3413387530,2712676.153,13468.71729,504972.9117,21901170.65
1610928000,3460120325,2807081.001,14189.22962,497324.9421,20722710.69
1610841600,3288840887,2674528.448,14190.67355,494837.4705,22376268.61
1610755200,3126331033,2666585.097,14973.14347,487888.8477,15169349.63
1610668800,2988431072,2438341.279,15077.18756,481633.0864,16654625.79
1610582400,3007983437,2661555.388,19001.58675,439129.018,15222014.71
1610496000,2621148944,2497021.981,18744.29226,448381.6784,25925580.33
1610409600,2628446550,2416473.495,19760.59207,445794.1692,22319441.71
1610323200,2939565053,2339039.939,19583.18335,444199.188,25795653.8
1610236800,2992799669,2339221.251,18849.56631,478130.453,19777031.54
1610150400,2840631702,2334318.105,19009.26401,490551.1724,22748428.59
1610064000,2937591273,2385822.178,19723.49907,507727.4309,18082749.42
1609977600,2821295327,2332979.407,19794.36171,506344.5032,19435934.53
1609891200,2713695586,2465897.542,19708.73289,506800.9843,22143772.84
1609804800,2509585616,2422660.555,20024.26719,528262.2766,20493404.12
1609718400,2426664505,2488912.199,19385.1658,653286.2644,28751417
1609632000,2139704422,2773757.693,19463.35826,656438.7318,11132150.9
1609545600,2058179462,2821704.476,18818.14696,658658.2762,11901965.48
1609459200,2019251539,2738525.177,18637.12842,652733.1164,11741156.1
1609372800,1977237676,2628885.917,17650.59299,690927.5777,11987335.86
1609286400,1846751819,2524885.591,12648.8921,527690.5892,24607762.67
1609200000,1895766631,2599967.95,12138.3893,532097.4485,26825248.73
1609113600,1859860312,2722716.351,12057.40661,532212.9405,33262987.06
1609027200,1753387688,2758243.307,11645.37486,541871.0706,35756088.73
1608940800,1770630727,2828393.225,11259.36939,536026.7802,41123306.74
1608854400,1762947073,2878750.936,11316.10194,539985.9216,44498354.43
1608768000,1671528725,2581671.03,11336.568,508066.6255,24162286.22
1608681600,1826239173,2902524.155,10936.39424,515040.7059,12510996.09
1608595200,1760175490,2903430.143,11008.90625,509674.1614,11489618.32
1608508800,1818114772,2874626.104,11165.46417,489030.8429,9367927.069
1608422400,1881985288,2895852.049,11226.04382,490751.1856,11225184.96
1608336000,1842606191,2868494.6,10951.10458,483351.0153,11697562.21
1608249600,1839572617,2876714.493,11363.01594,477967.121,13927554.26
1608163200,1819146324,2877166.913,11062.92653,466026.5767,14406120.26
1608076800,1728030132,2941578.231,10626.59876,467218.652,15519813.55
1607990400,1741406383,2975847.403,10272.58535,470787.9117,15336924.78
1607904000,1705867923,2890713.623,10210.69049,445622.3388,15730554.98
1607817600,1640424645,2875516.486,10057.37822,443316.5783,14949791.23
1607731200,1608665274,2945841.77,10647.59661,443217.5426,14150877.05
1607644800,1619446953,2884452.396,10391.97752,439072.5543,13521375.57
1607558400,1715141288,2994049.556,10457.12147,446239.9846,15162810.21
1607472000,1643135595,2943421.459,11075.64812,442949.2879,15185318.67
1607385600,1790076878,3031356.902,10902.57371,431899.4504,13975523.88
1607299200,1764912860,2964346.904,11253.07494,418617.3652,14672666.61
1607212800,1775562965,2989918.271,11964.50626,409398.8574,15758758.54
1607126400,1744811298,3056193.267,14102.48769,419079.8958,12124247.55
1607040000,1886697459,3075852.979,14095.41355,411723.4928,14025028.41
1606953600,1842708546,3098186.771,14795.60709,419556.9511,16826633.89
1606867200,1736371215,2965519.905,14615.66324,426865.5334,9103414.622
1606780800,1791699903,2921932.685,14285.11414,431438.2072,7899846.068
1606694400,1651535610,2853477.332,15323.19859,410591.738,13391463.39
1606608000,1583632050,2933684.167,15227.30435,404089.6724,13412156.9
1606521600,1494581876,2857217.45,15164.27048,412784.9228,10181088.03
1606435200,1514462988,2917927.995,15345.28748,411815.7324,9796784.12
1606348800,1628559134,2852567.189,15524.39456,422870.6473,12091847.35
1606262400,1686251306,2804202.86,15620.96642,394003.5015,12846292.88
1606176000,1704842662,2815734.325,15514.52437,403638.2718,10407435.54
1606089600,1651638323,2948616.994,15404.12829,406615.1428,12415361.93
1606003200,1663167212,3032873.577,14695.55306,429238.2407,14134235.02
1605916800,1663383908,3301216.401,14902.16172,422710.2518,9699165.28
1605830400,1598740085,3408100.799,14111.93761,379761.7921,12069471.97
1605744000,1603963795,3363594.755,12674.52465,393808.2213,15789412.41
1605657600,1602782986,3357668.348,12705.92641,473264.0269,13079592.11
1605571200,1499706302,3288108.533,12382.26941,452850.9758,14812469.26
1605484800,1398709291,3141331.561,12263.44374,437892.7693,12897905.7
1605398400,1437929087,3137322.643,12280.64485,441014.3486,16051204.4
